Customer_ID,Customer_Type,Age_Group,Gender,Area,Total_Previous_Orders,Avg_Previous_Order_Value
C00001,Returning,26-35,Male,Banjara Hills,21,281.76
C00002,Returning,36-45,Male,Mehdipatnam,22,483.23
C00003,Returning,26-35,Male,Manikonda,1,393.6
C00004,Returning,36-45,Male,Kondapur,36,350.16
C00005,Returning,36-45,Male,Ameerpet,17,506.11
C00006,Returning,18-25,Unknown,Begumpet,24,479.81
C00007,New,36-45,Female,Hitech City,0,0.0
C00008,Returning,18-25,Female,Secunderabad,12,375.24
C00009,Returning,26-35,Male,Mehdipatnam,25,415.72
C00010,Returning,56+,Male,Hitech City,26,174.44
C00011,Returning,36-45,Female,Mehdipatnam,19,170.23
C00012,Returning,46-55,Unknown,Banjara Hills,13,335.07
C00013,Returning,46-55,Unknown,Begumpet,1,439.77
C00014,Returning,26-35,Unknown,Mehdipatnam,22,648.43
C00015,Returning,36-45,Male,Ameerpet,3,472.97
C00016,Returning,26-35,Female,Manikonda,4,295.0
C00017,Returning,18-25,Female,Banjara Hills,11,359.51
C00018,Returning,18-25,Female,Ameerpet,22,259.57
C00019,Returning,18-25,Female,Banjara Hills,1,416.25
C00020,Returning,36-45,Male,Gachibowli,19,410.25
C00021,New,36-45,Male,Hitech City,0,0.0
C00022,New,46-55,Male,Ameerpet,0,0.0
C00023,Returning,26-35,Male,Gachibowli,36,555.3
C00024,New,36-45,Female,Madhapur,0,0.0
C00025,New,26-35,Male,Gachibowli,0,0.0
C00026,Returning,26-35,Male,Kondapur,23,530.01
C00027,Returning,36-45,Female,Madhapur,36,291.75
C00028,Returning,26-35,Unknown,Kondapur,29,470.81
C00029,Returning,56+,Female,Manikonda,12,434.04
C00030,Returning,26-35,Male,Gachibowli,6,637.38
C00031,Returning,18-25,Unknown,Gachibowli,19,408.89
C00032,Returning,46-55,Female,Hitech City,30,409.56
C00033,New,46-55,Female,Secunderabad,0,0.0
C00034,New,18-25,Female,Gachibowli,0,0.0
C00035,Returning,26-35,Female,Manikonda,9,461.8
C00036,New,26-35,Female,Gachibowli,0,0.0
C00037,Returning,18-25,Female,Secunderabad,25,528.97
C00038,New,26-35,Male,Madhapur,0,0.0
C00039,Returning,36-45,Female,Begumpet,28,630.68
C00040,New,36-45,Unknown,Jubilee Hills,0,0.0
C00041,Returning,18-25,Male,Kukatpally,7,353.81
C00042,Returning,26-35,Male,Madhapur,36,410.62
C00043,Returning,26-35,Male,Begumpet,19,443.27
C00044,Returning,36-45,Female,Mehdipatnam,33,204.35
C00045,Returning,18-25,Female,Begumpet,24,643.04
C00046,Returning,56+,Male,Mehdipatnam,39,238.49
C00047,New,18-25,Unknown,Mehdipatnam,0,0.0
C00048,Returning,26-35,Unknown,Hitech City,18,264.59
C00049,Returning,36-45,Male,Mehdipatnam,38,438.83
C00050,Returning,46-55,Male,Jubilee Hills,35,528.64
C00051,Returning,26-35,Female,Manikonda,36,489.69
C00052,Returning,46-55,Female,Madhapur,34,312.85
C00053,New,26-35,Female,Begumpet,0,0.0
C00054,Returning,18-25,Female,Manikonda,22,541.79
C00055,Returning,26-35,Male,Begumpet,38,414.74
C00056,New,26-35,Female,Hitech City,0,0.0
C00057,Returning,26-35,Male,Begumpet,20,542.95
C00058,Returning,36-45,Male,Secunderabad,32,120.0
C00059,Returning,26-35,Male,Gachibowli,27,455.77
C00060,Returning,26-35,Male,Mehdipatnam,5,584.59
C00061,Returning,26-35,Male,Madhapur,25,651.31
C00062,Returning,26-35,Male,Gachibowli,6,510.87
C00063,Returning,18-25,Female,Gachibowli,36,329.42
C00064,New,26-35,Female,Banjara Hills,0,0.0
C00065,Returning,26-35,Male,Madhapur,7,662.87
C00066,Returning,36-45,Female,Begumpet,21,341.71
C00067,Returning,26-35,Male,Ameerpet,4,331.12
C00068,New,36-45,Female,Kondapur,0,0.0
C00069,Returning,26-35,Male,Jubilee Hills,33,370.79
C00070,New,26-35,Male,Mehdipatnam,0,0.0
C00071,Returning,26-35,Female,Begumpet,13,121.05
C00072,Returning,36-45,Female,Gachibowli,35,255.99
C00073,Returning,46-55,Female,Hitech City,2,342.63
C00074,Returning,36-45,Male,Ameerpet,32,478.81
C00075,New,18-25,Male,Kondapur,0,0.0
C00076,Returning,36-45,Unknown,Begumpet,4,445.91
C00077,Returning,26-35,Unknown,Banjara Hills,39,597.98
C00078,Returning,46-55,Male,Jubilee Hills,14,805.8
C00079,Returning,18-25,Female,Madhapur,38,535.14
C00080,New,36-45,Female,Manikonda,0,0.0
C00081,New,26-35,Male,Begumpet,0,0.0
C00082,Returning,46-55,Male,Manikonda,30,422.8
C00083,Returning,26-35,Male,Mehdipatnam,23,466.94
C00084,New,18-25,Unknown,Ameerpet,0,0.0
C00085,Returning,36-45,Male,Secunderabad,15,522.08
C00086,Returning,26-35,Male,Ameerpet,25,255.41
C00087,Returning,18-25,Male,Jubilee Hills,5,277.39
C00088,Returning,18-25,Female,Hitech City,5,457.14
C00089,Returning,26-35,Female,Begumpet,20,512.98
C00090,Returning,26-35,Male,Kondapur,20,692.03
C00091,New,26-35,Female,Manikonda,0,0.0
C00092,Returning,18-25,Male,Hitech City,39,376.25
C00093,Returning,18-25,Male,Kondapur,34,360.74
C00094,Returning,36-45,Female,Hitech City,3,331.95
C00095,Returning,26-35,Male,Banjara Hills,23,257.04
C00096,Returning,36-45,Female,Banjara Hills,33,256.05
C00097,New,26-35,Female,Begumpet,0,0.0
C00098,Returning,26-35,Male,Gachibowli,19,434.88
C00099,New,36-45,Female,Mehdipatnam,0,0.0
C00100,New,18-25,Female,Gachibowli,0,0.0
C00101,Returning,18-25,Female,Banjara Hills,20,386.57
C00102,Returning,26-35,Female,Ameerpet,34,393.18
C00103,Returning,26-35,Male,Hitech City,20,366.79
C00104,Returning,18-25,Female,Hitech City,3,459.16
C00105,Returning,56+,Female,Secunderabad,9,424.47
C00106,Returning,18-25,Female,Mehdipatnam,26,120.0
C00107,Returning,18-25,Female,Mehdipatnam,10,456.06
C00108,Returning,36-45,Male,Kondapur,34,435.68
C00109,Returning,18-25,Unknown,Kondapur,15,344.35
C00110,Returning,26-35,Female,Madhapur,11,443.81
C00111,Returning,26-35,Male,Mehdipatnam,14,333.55
C00112,Returning,26-35,Female,Banjara Hills,28,437.68
C00113,New,36-45,Unknown,Mehdipatnam,0,0.0
C00114,Returning,18-25,Female,Kukatpally,10,508.99
C00115,New,36-45,Male,Banjara Hills,0,0.0
C00116,Returning,18-25,Male,Hitech City,9,237.13
C00117,Returning,26-35,Female,Gachibowli,16,332.82
C00118,New,56+,Unknown,Ameerpet,0,0.0
C00119,Returning,36-45,Female,Madhapur,14,473.74
C00120,Returning,46-55,Female,Jubilee Hills,12,439.7
C00121,New,26-35,Male,Banjara Hills,0,0.0
C00122,Returning,18-25,Male,Kondapur,38,335.17
C00123,Returning,26-35,Female,Kondapur,39,442.66
C00124,Returning,36-45,Male,Banjara Hills,10,459.54
C00125,Returning,18-25,Female,Kukatpally,36,419.83
C00126,Returning,36-45,Female,Banjara Hills,17,315.9
C00127,New,26-35,Female,Jubilee Hills,0,0.0
C00128,Returning,46-55,Female,Mehdipatnam,19,358.66
C00129,New,26-35,Female,Banjara Hills,0,0.0
C00130,Returning,26-35,Male,Kukatpally,27,281.64
C00131,Returning,26-35,Female,Manikonda,17,318.48
C00132,Returning,26-35,Female,Ameerpet,38,230.25
C00133,Returning,56+,Male,Gachibowli,37,481.28
C00134,Returning,26-35,Unknown,Madhapur,24,519.32
C00135,Returning,36-45,Female,Secunderabad,25,534.21
C00136,Returning,26-35,Unknown,Ameerpet,34,322.22
C00137,Returning,18-25,Female,Mehdipatnam,35,325.52
C00138,Returning,26-35,Male,Manikonda,6,452.85
C00139,Returning,26-35,Male,Manikonda,5,361.64
C00140,Returning,26-35,Female,Jubilee Hills,26,381.36
C00141,Returning,26-35,Male,Hitech City,36,381.27
C00142,Returning,26-35,Unknown,Mehdipatnam,7,216.3
C00143,Returning,26-35,Unknown,Madhapur,33,582.25
C00144,Returning,18-25,Female,Kondapur,34,238.36
C00145,Returning,18-25,Female,Madhapur,23,220.65
C00146,Returning,26-35,Male,Madhapur,24,523.11
C00147,New,26-35,Unknown,Manikonda,0,0.0
C00148,Returning,46-55,Female,Kondapur,6,556.79
C00149,Returning,36-45,Male,Begumpet,10,464.05
C00150,Returning,26-35,Female,Madhapur,34,465.8
C00151,Returning,36-45,Male,Kukatpally,24,372.18
C00152,Returning,26-35,Male,Jubilee Hills,21,240.88
