Delivery_ID,Order_ID,Assigned_Rider_ID,Estimated_Delivery_Min,Actual_Delivery_Min,Restaurant_Prep_Min,Pickup_Delay_Min,Delivery_Delay_Min
D000001,O000001,RIDER2302,29,26,38,2.5,0
D000002,O000002,RIDER0786,30,37,14,1.6,7
D000003,O000003,RIDER0235,43,70,14,4.4,27
D000004,O000004,RIDER2124,32,35,29,2.4,3
D000005,O000005,RIDER1547,35,64,29,0.7,29
D000006,O000006,RIDER0469,24,20,23,3.4,0
D000007,O000007,RIDER1671,32,51,24,6.3,19
D000008,O000008,RIDER1972,45,57,29,3.8,12
D000009,O000010,RIDER0489,20,20,31,5.6,0
D000010,O000011,RIDER1351,25,24,24,5.4,0
D000011,O000012,RIDER1664,31,51,28,1.8,20
D000012,O000013,RIDER1558,30,33,37,5.4,3
D000013,O000014,RIDER1558,36,38,33,2.2,2
D000014,O000015,RIDER0953,39,43,37,11.0,4
D000015,O000016,RIDER0027,27,25,19,2.3,0
D000016,O000017,RIDER1189,27,24,36,2.1,0
D000017,O000018,RIDER0752,39,42,29,4.8,3
D000018,O000019,RIDER2481,22,18,37,3.2,0
D000019,O000020,RIDER2154,37,42,32,6.4,5
D000020,O000021,RIDER1311,34,30,30,4.1,0
D000021,O000022,RIDER0498,35,39,15,4.2,4
D000022,O000023,RIDER1079,26,30,15,7.6,4
D000023,O000025,RIDER0426,23,40,33,3.6,17
D000024,O000026,RIDER0757,37,32,40,1.3,0
D000025,O000027,RIDER0032,60,77,34,1.2,17
D000026,O000028,RIDER1305,30,64,29,1.4,34
D000027,O000029,RIDER1353,45,53,15,1.1,8
D000028,O000030,RIDER1968,57,56,37,1.0,0
D000029,O000031,RIDER0146,34,67,24,0.6,33
D000030,O000032,RIDER0378,23,28,34,6.3,5
D000031,O000033,RIDER0225,55,70,25,0.9,15
D000032,O000034,RIDER1112,44,47,22,1.2,3
D000033,O000035,RIDER0959,28,28,27,3.8,0
D000034,O000036,RIDER1018,39,39,23,4.9,0
D000035,O000037,RIDER1695,63,59,21,3.1,0
D000036,O000038,RIDER0889,39,34,22,4.1,0
D000037,O000039,RIDER1233,24,23,15,1.0,0
D000038,O000040,RIDER1567,28,25,25,2.9,0
D000039,O000041,RIDER2345,27,26,16,5.8,0
D000040,O000042,RIDER0109,48,52,15,2.6,4
D000041,O000043,RIDER1211,24,21,42,1.4,0
D000042,O000044,RIDER2478,42,49,23,3.2,7
D000043,O000045,RIDER2457,36,33,16,2.9,0
D000044,O000046,RIDER2024,21,22,24,1.1,1
D000045,O000047,RIDER0446,35,31,16,9.6,0
D000046,O000048,RIDER0733,36,67,19,2.1,31
D000047,O000049,RIDER0287,32,29,34,4.5,0
D000048,O000050,RIDER0445,46,52,33,2.1,6
D000049,O000051,RIDER1295,48,53,37,0.9,5
D000050,O000052,RIDER1936,40,57,29,2.3,17
D000051,O000053,RIDER0430,25,20,38,7.4,0
D000052,O000054,RIDER1808,56,87,40,0.6,31
D000053,O000055,RIDER1334,35,42,22,4.4,7
D000054,O000056,RIDER0390,37,44,25,0.8,7
D000055,O000057,RIDER1576,20,21,21,3.9,1
D000056,O000058,RIDER2246,18,51,22,0.5,33
D000057,O000059,RIDER0959,45,48,34,3.4,3
D000058,O000060,RIDER2075,31,28,33,3.6,0
D000059,O000061,RIDER1155,45,67,37,5.6,22
D000060,O000062,RIDER1169,44,67,21,3.1,23
D000061,O000063,RIDER1444,26,44,32,2.7,18
D000062,O000064,RIDER0254,41,42,17,1.5,1
D000063,O000065,RIDER1322,31,32,22,9.9,1
D000064,O000066,RIDER1524,26,29,21,4.8,3
D000065,O000067,RIDER0084,36,37,34,1.0,1
D000066,O000068,RIDER0074,22,43,38,3.7,21
D000067,O000069,RIDER0666,28,36,24,6.1,8
D000068,O000070,RIDER1798,44,49,28,1.1,5
D000069,O000071,RIDER0868,30,28,30,2.9,0
D000070,O000072,RIDER1183,33,67,27,2.0,34
D000071,O000073,RIDER1067,35,39,14,1.8,4
D000072,O000074,RIDER2225,27,43,34,2.1,16
D000073,O000075,RIDER0707,35,56,27,2.0,21
